city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
Beijing,China,39.9042,116.4074,2018,6,53.59,52.8,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,7,50.9,63.86,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,8,61.94,82.79,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,11,68.58,53.47,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,12,101.6,44.23,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,1,58.1,33.97,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,3,74.47,85.26,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,4,168.68,58.41,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,5,76.81,50.15,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,6,144.14,103.97,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,8,55.29,43.79,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,10,50.2,77.8,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,11,87.51,65.15,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2019,12,92.88,55.02,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,2,122.98,76.62,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,3,148.46,71.21,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,4,105.85,91.38,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,5,144.42,81.4,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,7,58.12,47.9,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,8,96.79,84.8,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,10,79.5,33.72,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2020,11,58.81,50.77,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,2,125.08,55.3,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,4,94.19,69.09,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,5,113.76,52.64,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,6,105.96,87.09,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,7,127.38,50.88,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,8,70.42,76.11,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,11,96.32,67.34,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2021,12,98.56,66.13,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,1,101.38,46.79,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,2,71.6,45.09,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,3,53.12,77.71,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,4,88.96,89.24,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,5,104.94,99.16,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,6,51.33,69.93,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,7,65.57,61.89,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2022,9,94.1,74.58,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,2,93.23,73.89,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,3,68.15,44.06,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,4,110.44,36.58,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,6,130.08,52.67,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,7,116.7,85.61,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,9,78.45,56.65,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,10,51.5,65.78,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2023,12,64.04,64.4,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,1,122.9,55.04,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,2,120.61,34.25,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,3,85.12,41.66,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,4,98.15,92.61,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,5,135.81,97.87,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,6,55.77,71.15,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,7,68.15,60.98,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,8,62.5,66.87,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,11,86.02,41.47,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2024,12,75.26,33.91,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,1,69.75,42.58,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,2,101.8,56.7,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,3,73.79,39.23,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,4,148.58,50.91,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,5,98.46,71.8,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,7,75.05,90.45,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,9,78.56,54.62,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,10,86.51,55.03,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2025,12,68.46,32.0,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,1,90.42,22.25,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,2,95.65,54.06,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,3,186.44,33.13,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,4,58.91,63.83,Poor,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,5,162.77,58.67,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,6,150.68,80.54,Poor,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,7,80.6,81.64,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,8,54.53,31.91,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,9,91.28,63.38,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,10,75.3,43.32,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,11,59.18,51.97,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,1999,12,97.96,39.29,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,1,64.04,34.88,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,2,105.51,58.57,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,3,97.69,65.05,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,4,122.77,44.01,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,5,139.25,35.69,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,6,143.43,40.34,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,7,104.4,39.11,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,8,69.79,62.17,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,9,71.28,59.63,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,10,74.31,54.42,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,11,101.01,43.59,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2000,12,83.22,27.89,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,1,77.82,46.71,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,2,151.1,50.05,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,3,75.69,69.42,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,4,163.75,43.93,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,5,64.07,57.86,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,6,113.6,65.15,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,7,92.5,75.7,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,8,107.34,36.02,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,10,94.91,43.83,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2001,11,87.07,24.82,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,1,145.13,34.58,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,2,65.66,55.34,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,3,72.21,38.72,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,4,103.03,37.68,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,5,188.69,30.05,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,6,116.43,79.58,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,7,97.79,54.38,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2002,9,72.96,38.93,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,1,140.79,52.58,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,2,109.46,60.41,Poor,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,3,185.2,30.75,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,4,147.21,54.5,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,5,53.27,76.49,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,6,87.82,78.4,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,7,128.14,52.08,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,8,72.41,50.32,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,11,63.58,49.57,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2003,12,89.67,46.22,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,1,101.08,53.81,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,2,94.26,60.28,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,3,111.06,69.48,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,4,55.51,70.36,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,5,113.0,56.73,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,6,138.55,44.52,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,7,90.58,75.02,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,8,123.78,71.36,Good,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,9,64.04,60.14,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,10,68.13,26.16,Poor,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,11,64.98,34.34,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2004,12,96.05,27.71,Moderate,Reference/Equivalent Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,1,68.72,27.77,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,2,137.61,61.94,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,3,181.31,31.5,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,4,129.58,42.1,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,5,142.22,81.02,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,6,105.06,57.38,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,7,103.42,53.02,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,8,65.56,28.49,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,9,54.74,25.2,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,11,69.5,46.69,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2005,12,108.91,36.47,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,1,129.01,36.82,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,2,98.35,39.67,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,3,69.87,40.49,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,4,99.82,39.15,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,5,160.75,71.31,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,6,172.1,62.46,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,7,131.92,68.3,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,9,69.25,56.11,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2006,10,92.9,34.24,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,2,95.9,38.34,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,3,157.4,52.7,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,4,186.03,61.92,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,5,163.91,40.19,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,6,102.7,53.05,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,7,85.92,33.55,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2007,8,120.6,61.83,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,1,118.24,51.18,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,2,108.12,24.02,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,3,82.08,49.88,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,4,137.06,47.29,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,5,158.5,48.93,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,6,108.98,70.46,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,7,142.07,58.05,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,8,56.18,74.43,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,10,65.49,45.6,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2008,12,112.66,33.48,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,1,91.64,28.41,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,2,86.66,28.33,Poor,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,3,51.69,45.26,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,4,91.27,56.29,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,5,159.1,47.31,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,6,136.12,78.72,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,7,105.91,50.29,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,8,105.85,71.58,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,9,59.2,60.47,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,10,51.71,39.51,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2009,11,112.02,39.37,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,1,108.36,31.42,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,2,153.47,36.62,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,3,208.23,46.44,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,4,125.63,74.12,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,5,156.33,82.65,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,6,129.82,47.53,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,7,135.65,70.7,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,9,75.97,65.05,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,11,53.12,46.29,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2010,12,55.07,24.9,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,1,164.21,42.22,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,2,168.97,47.88,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,3,79.8,62.02,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,4,188.24,35.06,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,5,64.9,84.04,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,6,140.49,62.41,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,7,121.02,87.92,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,8,132.48,63.88,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,9,64.91,51.23,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,10,64.15,48.92,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2011,12,96.06,27.88,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,1,83.87,43.26,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,2,158.0,28.65,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,3,124.36,64.67,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,4,161.22,43.35,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,5,51.47,41.29,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,6,79.58,39.15,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,8,135.09,81.5,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,9,86.5,29.04,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,10,73.66,26.82,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2012,12,83.7,37.4,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,1,69.74,26.93,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,2,64.18,51.46,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,3,84.82,59.37,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,4,116.28,62.76,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,5,97.22,64.97,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,7,62.31,65.05,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,8,128.11,34.18,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,9,83.39,34.91,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,10,93.19,65.23,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2013,12,129.36,24.35,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,1,110.69,24.24,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,2,133.19,33.33,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,3,150.83,50.77,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,4,106.55,44.85,Poor,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,5,194.06,34.01,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,6,60.44,34.7,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,7,72.7,79.99,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,8,138.52,69.12,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,9,94.11,77.11,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,10,94.57,66.68,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,11,94.66,57.66,Poor,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2014,12,55.51,42.03,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,1,69.8,47.31,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,2,92.78,44.42,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,3,120.12,51.91,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,4,76.19,32.83,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,5,141.24,77.92,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,6,60.07,77.51,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,7,158.86,73.75,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,8,63.86,58.77,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,10,72.45,25.22,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,11,68.17,43.64,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2015,12,92.06,60.77,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,1,74.28,32.62,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,2,99.19,61.09,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,3,80.58,54.28,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,4,135.62,53.79,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,5,126.08,55.46,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,6,155.08,40.89,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,7,153.1,63.25,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,9,108.89,32.27,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,10,62.83,63.21,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2016,11,121.23,61.88,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,1,142.96,59.05,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,2,133.93,65.38,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,3,64.77,49.98,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,4,144.52,53.94,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,5,206.16,63.6,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,6,182.48,42.1,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,7,140.2,47.24,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,8,61.7,31.94,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,10,108.34,59.42,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,11,103.04,48.82,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2017,12,121.77,44.56,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,1,118.39,34.74,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,2,133.24,34.98,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,4,172.82,50.4,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,5,112.76,69.66,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,6,183.47,88.12,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,7,154.07,58.03,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,8,111.9,67.78,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,9,95.05,76.48,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,10,100.16,55.53,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,11,58.68,54.59,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2018,12,55.92,46.51,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2019,1,162.49,42.03,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2019,2,99.1,53.49,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2019,3,143.64,73.06,Moderate,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2019,4,60.73,83.73,Good,Federal Reference Method,WHO_Database
Mumbai,India,19.076,72.8777,2019,5,73.82,32.74,Good,Federal Reference Method,WHO_Database
